省份,城市,日期,地区,白天天气,白天风力,白天气温,夜间天气,夜间风力,夜间气温
北京,北京,周日(11月2日),hb,晴,南风<3级,13,晴,南风<3级,1
北京,海淀,周日(11月2日),hb,晴,南风<3级,14,晴,北风<3级,0
北京,朝阳,周日(11月2日),hb,晴,南风<3级,14,晴,南风<3级,1
北京,顺义,周日(11月2日),hb,晴,南风<3级,14,晴,东风<3级,0
北京,怀柔,周日(11月2日),hb,晴,南风<3级,13,晴,东南风<3级,0
北京,通州,周日(11月2日),hb,晴,南风<3级,13,晴,南风<3级,0
北京,昌平,周日(11月2日),hb,晴,南风<3级,13,晴,东北风<3级,0
北京,延庆,周日(11月2日),hb,晴,东南风<3级,11,晴,东风<3级,-2
北京,丰台,周日(11月2日),hb,晴,南风<3级,14,晴,南风<3级,1
北京,石景山,周日(11月2日),hb,晴,南风<3级,14,晴,西南风<3级,0
北京,大兴,周日(11月2日),hb,晴,西南风<3级,13,晴,西南风<3级,0
北京,房山,周日(11月2日),hb,晴,南风<3级,13,晴,南风<3级,0
北京,密云,周日(11月2日),hb,晴,东北风<3级,14,晴,东南风<3级,-1
北京,门头沟,周日(11月2日),hb,晴,南风<3级,13,晴,南风<3级,2
北京,平谷,周日(11月2日),hb,晴,北风<3级,13,晴,东风<3级,-2
北京,东城,周日(11月2日),hb,晴,南风<3级,14,晴,南风<3级,1
北京,西城,周日(11月2日),hb,晴,南风<3级,14,晴,北风<3级,0
天津,天津,周日(11月2日),hb,晴,东南风3-4级,13,晴,南风<3级,4
天津,武清,周日(11月2日),hb,晴,南风3-4级,13,晴,南风<3级,3
天津,宝坻,周日(11月2日),hb,晴,南风3-4级,13,晴,南风<3级,1
天津,东丽,周日(11月2日),hb,晴,东南风3-4级,12,晴,南风<3级,4
天津,西青,周日(11月2日),hb,晴,南风3-4级,13,晴,南风<3级,3
天津,北辰,周日(11月2日),hb,晴,北风3-4级,13,晴,南风<3级,3
天津,宁河,周日(11月2日),hb,晴,南风3-4级,12,晴,西南风<3级,3
天津,和平,周日(11月2日),hb,晴,东南风3-4级,13,晴,南风<3级,4
天津,静海,周日(11月2日),hb,晴,北风3-4级,12,晴,南风<3级,3
天津,津南,周日(11月2日),hb,晴,东南风3-4级,12,晴,南风<3级,3
天津,滨海新区,周日(11月2日),hb,晴,南风3-4级,12,晴,西南风<3级,4
天津,河东,周日(11月2日),hb,晴,东南风3-4级,13,晴,南风<3级,4
天津,河西,周日(11月2日),hb,晴,东南风3-4级,13,晴,南风<3级,4
天津,蓟州,周日(11月2日),hb,晴,南风3-4级,12,晴,东风<3级,0
天津,南开,周日(11月2日),hb,晴,东南风3-4级,13,晴,南风<3级,4
天津,河北,周日(11月2日),hb,晴,东南风3-4级,13,晴,南风<3级,4
天津,红桥,周日(11月2日),hb,晴,东南风3-4级,13,晴,南风<3级,4
河北,石家庄,周日(11月2日),hb,晴,东南风<3级,15,晴,东南风<3级,3
河北,保定,周日(11月2日),hb,晴,南风<3级,13,晴,南风<3级,0
河北,张家口,周日(11月2日),hb,晴,西风<3级,9,晴,东风<3级,-1
河北,承德,周日(11月2日),hb,晴,西北风<3级,11,晴,东北风<3级,-2
河北,唐山,周日(11月2日),hb,晴,北风<3级,11,晴,西北风<3级,2
河北,廊坊,周日(11月2日),hb,晴,西风<3级,13,晴,南风<3级,2
河北,沧州,周日(11月2日),hb,晴,东北风<3级,13,晴,南风<3级,0
河北,衡水,周日(11月2日),hb,晴,东风<3级,13,晴,东南风<3级,3
河北,邢台,周日(11月2日),hb,晴,东南风<3级,13,晴,西南风<3级,5
河北,邯郸,周日(11月2日),hb,晴,东北风<3级,14,晴,南风<3级,6
河北,秦皇岛,周日(11月2日),hb,晴,西北风<3级,11,晴,北风<3级,0
河北,雄安新区,周日(11月2日),hb,晴,南风<3级,13,晴,南风<3级,0
山西,太原,周日(11月2日),hb,晴,南风<3级,14,晴,东风<3级,0
山西,大同,周日(11月2日),hb,晴,西南风<3级,10,晴,南风<3级,-5
山西,阳泉,周日(11月2日),hb,晴,东风<3级,13,晴,北风<3级,0
山西,晋中,周日(11月2日),hb,晴,西南风<3级,14,晴,东风<3级,1
山西,长治,周日(11月2日),hb,晴,南风<3级,13,晴,南风<3级,2
山西,晋城,周日(11月2日),hb,晴,东南风<3级,13,晴,东南风<3级,2
山西,临汾,周日(11月2日),hb,晴,南风<3级,17,多云,北风<3级,5
山西,运城,周日(11月2日),hb,多云,东南风<3级,18,多云,东风<3级,6
山西,朔州,周日(11月2日),hb,晴,东南风<3级,11,晴,西风<3级,-2
山西,忻州,周日(11月2日),hb,晴,西风<3级,13,晴,东北风<3级,-1
山西,吕梁,周日(11月2日),hb,晴,西风<3级,15,晴,东风<3级,1
内蒙古,呼和浩特,周日(11月2日),hb,晴,北风3-4级,11,晴,东北风3-4级,-1
内蒙古,包头,周日(11月2日),hb,晴,东风<3级,13,晴,东风<3级,-4
内蒙古,乌海,周日(11月2日),hb,晴,西南风<3级,16,晴,南风<3级,-1
内蒙古,乌兰察布,周日(11月2日),hb,晴,西风3-4级,10,晴,西南风4-5级,-3
内蒙古,通辽,周日(11月2日),hb,晴,北风3-4级,4,晴,南风3-4级,-4
内蒙古,赤峰,周日(11月2日),hb,晴,北风3-4级,7,晴,西南风3-4级,-3
内蒙古,鄂尔多斯,周日(11月2日),hb,晴,西南风<3级,11,晴,西南风<3级,0
内蒙古,巴彦淖尔,周日(11月2日),hb,晴,西南风<3级,14,晴,西南风<3级,-2
内蒙古,锡林郭勒,周日(11月2日),hb,晴,西风4-5级,6,晴,西南风4-5级,-8
内蒙古,呼伦贝尔,周日(11月2日),hb,晴,南风3-4级,0,晴,南风4-5级,-11
内蒙古,兴安盟,周日(11月2日),hb,晴,北风3-4级,3,晴,南风3-4级,-5
内蒙古,阿拉善盟,周日(11月2日),hb,晴,东南风3-4级,14,晴,东风3-4级,1
黑龙江,哈尔滨,周日(11月2日),db,雨夹雪,西北风3-4级,4,晴,南风<3级,-8
黑龙江,齐齐哈尔,周日(11月2日),db,晴,北风3-4级,2,晴,南风3-4级,-5
黑龙江,牡丹江,周日(11月2日),db,雨夹雪,西风<3级,3,多云,西南风<3级,-4
黑龙江,佳木斯,周日(11月2日),db,晴,北风3-4级,4,晴,西南风<3级,-6
黑龙江,绥化,周日(11月2日),db,晴,东北风<3级,2,晴,南风<3级,-9
黑龙江,黑河,周日(11月2日),db,晴,西北风3-4级,-4,晴,南风3-4级,-12
黑龙江,大兴安岭,周日(11月2日),db,晴,西风<3级,-2,晴,南风<3级,-17
黑龙江,伊春,周日(11月2日),db,多云,西北风<3级,2,晴,西南风<3级,-11
黑龙江,大庆,周日(11月2日),db,晴,北风3-4级,2,晴,南风3-4级,-5
黑龙江,七台河,周日(11月2日),db,多云,西北风3-4级,3,晴,西风3-4级,-6
黑龙江,鸡西,周日(11月2日),db,多云,西北风3-4级,3,晴,西风3-4级,-4
黑龙江,鹤岗,周日(11月2日),db,晴,北风<3级,4,晴,西南风<3级,-9
黑龙江,双鸭山,周日(11月2日),db,晴,西风3-4级,3,晴,西南风<3级,-5
吉林,长春,周日(11月2日),db,多云,西北风<3级,1,晴,南风<3级,-5
吉林,吉林,周日(11月2日),db,雨夹雪,西北风<3级,2,多云,南风<3级,-4
吉林,延边,周日(11月2日),db,小雪,西北风4-5级,4,多云,西风<3级,-3
吉林,四平,周日(11月2日),db,晴,西北风<3级,4,晴,南风<3级,-5
吉林,通化,周日(11月2日),db,多云,北风<3级,0,晴,北风<3级,-7
吉林,白城,周日(11月2日),db,晴,北风<3级,4,晴,南风<3级,-5
吉林,辽源,周日(11月2日),db,多云,西北风<3级,2,晴,南风<3级,-5
吉林,松原,周日(11月2日),db,晴,西北风<3级,4,晴,西南风<3级,-4
吉林,白山,周日(11月2日),db,多云,西北风<3级,1,多云,东北风<3级,-9
辽宁,沈阳,周日(11月2日),db,晴,北风4-5级,7,晴,东南风<3级,-6
辽宁,大连,周日(11月2日),db,晴,北风5-6级,8,晴,东北风4-5级,3
辽宁,鞍山,周日(11月2日),db,晴,北风<3级,7,晴,东南风<3级,-3
辽宁,抚顺,周日(11月2日),db,多云,西北风4-5级,4,晴,东南风<3级,-6
辽宁,本溪,周日(11月2日),db,多云,北风3-4级,5,晴,东南风3-4级,-5
辽宁,丹东,周日(11月2日),db,晴,北风5-6级,8,晴,北风3-4级,-4
辽宁,锦州,周日(11月2日),db,晴,北风4-5级,8,晴,南风3-4级,-1
辽宁,营口,周日(11月2日),db,晴,北风4-5级,6,晴,东南风3-4级,-2
辽宁,阜新,周日(11月2日),db,晴,北风3-4级,6,晴,南风<3级,-8
辽宁,辽阳,周日(11月2日),db,晴,北风4-5级,8,晴,东南风<3级,-6
辽宁,铁岭,周日(11月2日),db,多云,北风4-5级,5,晴,南风3-4级,-5
辽宁,朝阳,周日(11月2日),db,晴,北风3-4级,9,晴,南风<3级,-5
辽宁,盘锦,周日(11月2日),db,晴,北风5-6级,7,晴,东南风3-4级,-3
辽宁,葫芦岛,周日(11月2日),db,晴,北风4-5级,10,晴,西南风3-4级,-3
上海,上海,周日(11月2日),hd,阴,北风3-4级,20,阴,北风<3级,12
上海,闵行,周日(11月2日),hd,阴,北风3-4级,20,阴,北风3-4级,10
上海,宝山,周日(11月2日),hd,阴,北风3-4级,20,阴,北风3-4级,11
上海,黄浦,周日(11月2日),hd,阴,北风3-4级,20,阴,北风<3级,12
上海,嘉定,周日(11月2日),hd,阴,北风3-4级,20,阴,北风3-4级,9
上海,浦东新区,周日(11月2日),hd,阴,北风3-4级,22,阴,东北风3-4级,11
上海,金山,周日(11月2日),hd,阴,北风3-4级,21,阴,北风3-4级,9
上海,青浦,周日(11月2日),hd,阴,东北风3-4级,20,阴,北风3-4级,8
上海,松江,周日(11月2日),hd,阴,北风3-4级,20,阴,北风3-4级,10
上海,奉贤,周日(11月2日),hd,阴,北风3-4级,22,阴,北风3-4级,9
上海,崇明,周日(11月2日),hd,阴,北风3-4级,21,阴,北风<3级,7
上海,徐汇,周日(11月2日),hd,阴,北风3-4级,20,阴,北风<3级,12
上海,长宁,周日(11月2日),hd,阴,北风3-4级,20,阴,北风<3级,12
上海,静安,周日(11月2日),hd,阴,北风3-4级,20,阴,北风<3级,12
上海,普陀,周日(11月2日),hd,阴,北风3-4级,20,阴,北风<3级,12
上海,虹口,周日(11月2日),hd,阴,北风3-4级,20,阴,北风<3级,12
上海,杨浦,周日(11月2日),hd,阴,北风3-4级,20,阴,北风<3级,12
安徽,合肥,周日(11月2日),hd,晴,东北风3-4级,20,晴,东风3-4级,7
安徽,蚌埠,周日(11月2日),hd,晴,东北风3-4级,20,晴,东风3-4级,6
安徽,芜湖,周日(11月2日),hd,晴,东北风3-4级,20,晴,东风3-4级,9
安徽,淮南,周日(11月2日),hd,晴,东北风3-4级,20,晴,东风3-4级,7
安徽,马鞍山,周日(11月2日),hd,晴,东北风3-4级,19,晴,东风3-4级,8
安徽,安庆,周日(11月2日),hd,晴,东北风3-4级,21,晴,东北风3-4级,11
安徽,宿州,周日(11月2日),hd,晴,东北风3-4级,19,晴,东风3-4级,5
安徽,阜阳,周日(11月2日),hd,多云,东北风3-4级,21,晴,东风3-4级,8
安徽,亳州,周日(11月2日),hd,多云,东北风3-4级,19,晴,东南风3-4级,7
安徽,黄山,周日(11月2日),hd,多云,东北风<3级,9,多云,东北风<3级,1
