Name of Restaurant,Features/Category,Market Segment,Cuisine,Top Dishes,Address,Area/Location,Latitude,Longitude,Zomato URL,Dining Rating
Yaa Mohaideen Briyani,"Home Delivery, Indoor Seating",Restaurant,Biryani,"Bread Halwa,  Chicken 65,  Mutton Biryani,  Chicken Biryani,  Brinjal Gravy,  Basmati Rice,  Raita"," 336 & 338, Main Road, Pallavaram, Chennai",Pallavaram,12.9675,80.1491,https://www.zomato.com/chennai/yaa-mohaideen-briyani-1-pallavaram,4.3
Sukkubhai Biriyani,"Home Delivery, Free Parking, Table booking recommended, Indoor Seating",Restaurant,"Biryani,  North Indian,  Mughlai,  Desserts,  Beverages","Beef Biryani,  Beef Fry,  Paratha,  Paya,  Brinjal Curry,  Chicken 65,  Chicken Biryani"," New 14, Old 11/3Q, Railway Station Road, MKN Road, Near Antony Church, Alandur, Chennai",Alandur,12.9975,80.2006,https://www.zomato.com/chennai/sukkubhai-biriyani-alandur,4.4
SS Hyderabad Biryani,"Home Delivery, Indoor Seating",Restaurant,"Biryani,  North Indian,  Chinese,  Arabian","Brinjal Curry,  Tandoori Chicken,  Chicken Grill,  Brinjal Gravy,  Hyderabadi Biryani,  Mutton Biryani,  Chicken 65"," 98/339, Arcot Road, Opposite Gokulam Chit Funds, Kodambakkam, Chennai",Kodambakkam,13.0521,80.2255,https://www.zomato.com/chennai/ss-hyderabad-biryani-kodambakkam,4.3
KFC,"Home Delivery, Free Parking, Card Upon Delivery, Indoor Seating, Wifi",Fast Food,"Burger,  Fast Food,  Finger Food,  Beverages",Zinger Burger," 10, Periyar Nagar, 70 Feet Road, Near Sheeba Hospital, Perambur, Chennai",Perambur,13.121,80.2326,https://www.zomato.com/chennai/kfc-perambur,4
Tasty Kitchen,"Home Delivery, Indoor Seating",Restaurant,"Chinese,  Biryani,  North Indian,  Chettinad,  Arabian","Mutton Biryani,  Chicken Rice,  Tomato Rice,  Shawarma,  Egg Fried Rice"," 135B, SRP Colony, Peravallur, Near Perambur, Chennai",Perambur,13.121,80.2326,https://www.zomato.com/chennai/tasty-kitchen-perambur,4.2
Dine N Fun,"Home Delivery, Indoor Seating",Restaurant,"South Indian,  North Indian,  Chinese","Chicken Grill,  Shawarma,  Naan,  Chicken Butter Masala,  Chilli Chicken,  Fried Rice Chicken"," Opposite Forest Office, Tambaram Main Road, Santhosapuram, Medavakkam, Chennai",Medavakkam,12.92,80.192,https://www.zomato.com/chennai/dine-n-fun-medavakkam,4.1
Bai Veetu Kalyanam,Home Delivery,Restaurant,Biryani,"Bread Halwa,  Mutton Biryani,  Brinjal Gravy,  Raita,  Brinjal Curry"," 1/187, Thalambur Road, Navallur, Chennai",Navallur,12.8459,80.2265,https://www.zomato.com/chennai/bai-veetu-kalyanam-navallur,3.1
Cafe Arabica,"Breakfast, Home Delivery, Indoor Seating, Desserts and Bakes",Cafe,"Cafe,  Fast Food","Burgers,  Pasta,  Sandwich,  Strawberry Mojito,  Baklava,  Cappuccino,  Chocolate Cake"," 3, E Block, 3rd Avenue, Anna Nagar East, Chennai",Anna Nagar East,13.092,80.2236,https://www.zomato.com/chennai/cafe-arabica-anna-nagar-east,4.3
Savoury Sea Shell,"Home Delivery, Indoor Seating, Card Upon Delivery, Buffet, Table booking recommended",Restaurant,"Arabian,  Chinese,  North Indian,  Lebanese,  Salad","Shawarma,  Chicken Grill,  Brownie,  Sea Food,  Bbq Chicken,  Biryani,  Fish"," 3, E Block, 3rd Avenue, Anna Nagar East, Chennai",Anna Nagar East,13.092,80.2236,https://www.zomato.com/chennai/savoury-sea-shell-anna-nagar-east,4.2
Sangeetha Veg Restaurant,"Breakfast, Home Delivery, Vegetarian Only, Indoor Seating, Serves Jain Food, Table reservation required",Restaurant,"South Indian,  North Indian,  Chinese,  Chettinad,  Desserts,  Beverages","Filtered Coffee,  Chaat,  Faluda,  Masala Dosa,  Pongal,  Mini Idlis,  Paneer Tikka"," 102/82, GN Chetty Road, T. Nagar, Chennai",T. Nagar,13.0418,80.2341,https://www.zomato.com/chennai/sangeetha-veg-restaurant-t-nagar,4.4
McDonalds,"Breakfast, Home Delivery, Indoor Seating",Fast Food,"Burger,  Fast Food","Burgers,  Peri Peri Fries,  French Fries,  Maharaja Mac,  Chicken Nuggets,  Rice Bowl,  Wings"," 330/12, Grand Arcade, Dr Seetharaman Nagar, Velachery Tambaram Road, Velachery, Chennai",Velachery,12.9755,80.2207,https://www.zomato.com/chennai/mcdonalds-velachery,3.9
Kovai Alankar Vilas,"Home Delivery, Free Parking, Indoor Seating, Table booking recommended",Restaurant,South Indian,"Elaneer Payasam,  Paratha,  Mutton Chukka,  Mutton Kola Urundai,  Mutton Biryani,  Kali Dosa,  Nannari Sharbat"," AC 3, 2nd Avenue, Anna Nagar East, Chennai .",Anna Nagar East,13.092,80.2236,https://www.zomato.com/chennai/kovai-alankar-vilas-anna-nagar-east,4.4
Hotel Al Buhari,"Home Delivery, Indoor Seating",Hotel,"Chinese,  Chettinad","Shawarma,  Fried Rice Chicken,  Biryani"," 81, Opposite AVM Theater, Arcot Road, Vadapalani, Chennai",Vadapalani,13.05,80.2121,https://www.zomato.com/chennai/hotel-al-buhari-vadapalani,4
Dindigul Thalappakatti,"Home Delivery, Indoor Seating, Table reservation required",Restaurant,"South Indian,  Biryani,  Chinese,  North Indian","Mutton Biryani,  Faluda,  Barbeque Chicken,  Chicken Grill,  Bbq Chicken,  Fish Fry,  Mutton Chops"," New 21-A, Arcot Road, Porur, Chennai",Porur,13.0382,80.1565,https://www.zomato.com/chennai/dindigul-thalappakatti-1-porur,4.3
Hotel Paramount,"Breakfast, Home Delivery, Indoor Seating, Catering Available",Hotel,"North Indian,  Chinese,  Seafood,  South Indian,  Biryani","Biryani,  Butter Chicken,  Tandoori Chicken,  Tangdi Kabab,  Paya,  Paratha,  Chilli Chicken"," 12/5, Ormes Road, Kilpauk, Chennai",Kilpauk,13.0828,80.2417,https://www.zomato.com/chennai/hotel-paramount-kilpauk,4.3
Welcome Hotel,"Breakfast, Vegetarian Only, Indoor Seating",Hotel,"South Indian,  Desserts,  Beverages","Pongal,  Podi Dosa,  Idli Sambar,  Vada Curry,  Rava Dosa,  Coffee,  Masala Dosa"," 112/241, Purasawalkam High Road, Purasavakkam, Chennai.",Purasavakkam,13.0902,80.2543,https://www.zomato.com/chennai/welcome-hotel-purasavakkam,4.5
Arab Street,"Home Delivery, Valet Parking Available, Indoor Seating, Table reservation required",Restaurant,"Arabian,  Biryani,  Chinese,  North Indian,  Italian","Shawarma,  Biryani,  Chicken Grill,  Kunafa,  Charcoal Chicken,  Chicken Shawarama,  Butter Naan"," 101, 4th Avenue, Ward 133, Ashok Nagar, Chennai",Ashok Nagar,13.0373,80.2123,https://www.zomato.com/chennai/arab-street-ashok-nagar,4.1
Abids,"Home Delivery, Valet Parking Available, Indoor Seating, Table booking recommended",Restaurant,"Seafood,  Biryani,  Hyderabadi,  Arabian,  North Indian,  Chinese,  Kerala","Haleem,  Hyderabadi Dum Biryani,  Brinjal Curry,  Fish,  Tandoori Chicken,  Chicken Grill,  Mutton Shorba"," 21, Spurtank Road, Chetpet, Chennai",Chetpet,13.0714,80.2417,https://www.zomato.com/chennai/abids-chetpet,4.2
Wire Room Bar & Kitchen,"Full Bar Available, Mall Parking, Dance Floor, Nightlife, Live Music, Serves Cocktails, Restricted Entry, Resto Bar, LGBTQIA Friendly, Private Dining Area Available, Live Entertainment, Indoor Seating, Table booking recommended, Smoking Area",Bar,"Continental,  Asian","Cocktails,  Salad,  Beer,  Tikka,  Pork Ribs,  Steak,  Nachos"," 142, Phoenix Marketcity, New NGO Colony, Velachery Road, Indira Gandhi Nagar, Velachery, Chennai","Phoenix Market City, Velachery",12.9755,80.2207,https://www.zomato.com/chennai/wire-room-bar-kitchen-velachery,4.1
Malabar Biriyani Center,"Home Delivery, Indoor Seating",Restaurant,"Kerala,  Chinese,  North Indian,  Biryani","Chicken Grill,  Paratha,  Malabari Biryani,  Pulpy Grape Juice,  Arabian Grape Juice,  Bbq Chicken,  Chicken Butter Masala"," 132/89, Nelson Manickam Road, Mehtha Nagar, Aminijikarai, Chennai",Aminijikarai,13.0711,80.2227,https://www.zomato.com/chennai/malabar-biriyani-center-aminijikarai,4.1
Velidis,"Home Delivery, Free Parking, Indoor Seating",Restaurant,"Andhra,  Biryani,  North Indian","Chicken Guntur,  Hyderabadi Biryani,  Guntur Paneer,  Andhra Biryani,  Chicken Biryani,  Gongura Chicken,  Chicken Fry"," 3/88, Mount Poonamallee Road, Ramapuram, Chennai",Ramapuram,13.0317,80.1817,https://www.zomato.com/chennai/velidis-ramapuram,4.2
Mami Tiffen Stall,"Breakfast, Home Delivery, Free Parking, Indoor Seating",Restaurant,"South Indian,  North Indian,  Chinese,  Street Food","Vada Curry,  Filtered Coffee,  Pongal,  Ghee Podi Dosa,  Bonda,  Masala Dosa,  Idli"," 7, Pitchupillai Street, Near Kapaleeshwarar Temple, Mylapore, Chennai",Mylapore,13.0368,80.2676,https://www.zomato.com/chennai/mami-tiffen-stall-mylapore,4.3
Supriya Andhra Restaurant,"Home Delivery, Free Parking, Indoor Seating",Restaurant,"Biryani,  North Indian,  Chinese","Biryani,  Raita"," 5/349, Rajiv Gandhi Salai, OMR, Thuraipakkam, Chennai",Thuraipakkam,12.9416,80.2362,https://www.zomato.com/chennai/supriya-andhra-restaurant-1-thuraipakkam,4.2
BFF 2.0,"Full Bar Available, Indoor Seating, Nightlife, Table booking recommended, LGBTQIA Friendly, Smoking Area, Live Sports Screening, Valet Parking Available, Live Music",Bar,"North Indian,  Continental,  Italian","Crispy Chicken,  Cocktails,  Pizza,  Nachos,  Onion Rings,  Fajita,  Mashed Potato"," 80/29, 2nd Main Road, RA Puram, Chennai",RA Puram,13.0235,80.2588,https://www.zomato.com/chennai/bff-2-0-ra-puram,4.2
Eating Circles,"Breakfast, Home Delivery, Vegetarian Only, Indoor Seating",Restaurant,South Indian,"Rose Milk,  Neer Dosa,  Thatte Idli,  Open Masala Dosa,  Filtered Coffee,  Rava Idli,  Bonda Soup"," 6, CP Ramaswamy Road, Alwarpet, Chennai",Alwarpet,13.0335,80.2531,https://www.zomato.com/chennai/eating-circles-alwarpet,4.7
Salem RR Briyani Unavagam,"Home Delivery, Indoor Seating, Catering Available",Restaurant,"Biryani,  Chinese,  North Indian,  Seafood,  Beverages","Chicken 65,  Mutton Biryani,  Tandoori Chicken,  Chicken Biryani,  Kothu Parotta,  Brinjal Gravy,  Paratha"," 166, 100 Feet Road, Ganapathi Nagar, Velachery, Chennai",Velachery,12.9755,80.2207,https://www.zomato.com/chennai/salem-rr-briyani-unavagam-velachery,4.2
V4 Midnight Dhabba,"Home Delivery, Indoor Seating, Table booking recommended",Restaurant,"North Indian,  Mughlai","Egg Noodles,  Punjabi Chicken,  Cream Chicken,  Peri Peri Chicken,  Panneer Butter Masala,  Dragon Chicken,  Roti"," 22, Nolambur Service Road, Opposite KG Signature City, Mogappair West, Chennai",Mogappair,13.0837,80.175,https://www.zomato.com/chennai/v4-midnight-dhabba-mogappair,4.3
Bakya Veg Restaurant,"Breakfast, Home Delivery, Vegetarian Only, Free Parking, Indoor Seating",Restaurant,"South Indian,  North Indian,  Chinese","Panneer Butter Masala,  Noodle,  Chaat,  Badam Milk,  Butter Naan"," 20, Jaishankar Street, Near Ayodhya Mandapam, West Mambalam, Chennai",West Mambalam,13.0383,80.2209,https://www.zomato.com/chennai/bakya-veg-restaurant-west-mambalam,4.2
Midnight Madness,"Home Delivery, Indoor Seating",Restaurant,Italian,"Pasta,  Noodle,  Peri Peri Chicken Pizza"," 1\/1, F-3, 1st Floor, Sindhuja Complex, 29th Cross Street, Indira Nagar, Adyar, Chennai",Adyar,13.0012,80.2565,https://www.zomato.com/chennai/midnight-madness-adyar,4.1
Hotel Crescent,"Home Delivery, Indoor Seating",Hotel,"Chettinad,  Chinese,  North Indian,  Kebab,  Biryani","Chicken Grill,  Shawarma,  Paratha,  Fish Curry,  Tandoori Chicken,  Biryani,  Chicken Curry"," 309, Valluvar Kottam High Road, Nungambakkam, Chennai",Nungambakkam,13.0569,80.2425,https://www.zomato.com/chennai/hotel-crescent-nungambakkam,4.3
Zaitoon,"Home Delivery, Serves Halal, Free Parking, Indoor Seating, Table booking for Groups, Valet Parking Available, Table booking recommended, Card Upon Delivery",Restaurant,"North Indian,  Arabian,  Chinese","Shawarma,  Bbq Chicken,  Biryani,  Salad,  Brownie,  Clear Soup,  Barbeque Chicken"," 35, Woods Road., Royapettah, Chennai",Royapettah,13.054,80.2641,https://www.zomato.com/chennai/zaitoon-royapettah,4.1
Nithya Amirtham,"Breakfast, Home Delivery, Vegetarian Only, Indoor Seating",Restaurant,"South Indian,  North Indian,  Chinese","Tomato Soup,  Filtered Coffee,  Thali,  Gulab Jamun,  Paneer Tikka,  Pongal,  Naan"," 39, North Mada Street, Near Kapaleeswarar Temple, Mylapore, Chennai",Mylapore,13.0368,80.2676,https://www.zomato.com/chennai/nithya-amirtham-mylapore,4.2
Shri Balaajee Bhavan,"Breakfast, Home Delivery, Vegetarian Only, Indoor Seating, Catering Available",Restaurant,"South Indian,  North Indian","Filtered Coffee,  Panneer Butter Masala,  Idli,  Pongal,  Naan,  Vada Sambar,  Idiyappam"," 412/07, Thoraipakam Road Over Bridge, Chromepet, Chennai",Chromepet,12.9516,80.1462,https://www.zomato.com/chennai/shri-balaajee-bhavan-chromepet,4.3
Kakada Ramprasad,"Breakfast, Home Delivery, Vegetarian Only, Free Parking, Pre-Ordering Required, Serves Jain Food, Desserts and Bakes, Indoor Seating",Fast Food,"Mithai,  Street Food,  North Indian","Badam Milk,  Chaat,  Pav Bhaji,  Jalebi,  Panipuri,  Aloo Tikki,  Samosa"," Ormes Road, Sylvan Lodge Colony, Kilpauk, Chennai",Kilpauk,13.0828,80.2417,https://www.zomato.com/chennai/kakada-ramprasad-kilpauk,4.3
