outlets,avg_rating,areas,segments
78,3.5935897435897437,28,1
72,3.629166666666667,46,2
66,3.503030303030303,54,1
58,3.572413793103448,45,3
50,3.5039999999999996,41,2
50,2.918,38,1
49,3.216326530612245,30,2
45,3.3222222222222224,36,3
41,3.7121951219512193,38,1
40,3.2,35,1
40,3.5825000000000005,28,1
39,3.0256410256410255,33,1
38,3.568421052631579,34,1
38,3.776315789473684,35,1
36,3.113888888888889,28,1
35,3.6942857142857144,34,2
35,3.462857142857143,28,3
34,4.044117647058823,33,2
34,3.164705882352941,26,1
33,3.0727272727272728,29,1
32,3.921875,30,2
32,3.703125,27,2
31,3.4935483870967743,20,2
31,3.458064516129032,27,1
31,3.987096774193548,30,2
30,4.0,29,2
30,3.6666666666666665,29,2
28,2.9464285714285716,24,1
27,3.714814814814815,26,1
27,3.355555555555555,25,1
27,3.674074074074074,23,1
26,3.3653846153846154,23,1
26,4.069230769230769,26,1
26,3.8576923076923078,24,2
25,3.8,21,1
25,3.3360000000000003,23,1
25,4.079999999999999,25,2
24,3.525,18,3
22,3.0136363636363637,21,1
22,3.590909090909091,18,2
22,3.0318181818181817,19,2
21,3.3761904761904766,17,2
20,3.125,19,1
20,3.7699999999999996,18,1
20,3.975,18,2
20,3.13,19,1
20,2.95,17,1
19,4.031578947368421,12,1
19,3.363157894736842,14,1
19,3.2157894736842105,15,2
19,3.6368421052631574,19,1
18,3.1722222222222225,18,1
18,3.283333333333333,18,2
18,3.0555555555555554,16,1
16,3.65625,16,2
16,2.83125,16,2
16,3.425,16,1
15,3.54,9,1
15,3.26,8,1
15,3.74,15,1
15,3.7666666666666666,13,1
15,3.52,13,2
15,3.06,15,1
14,3.664285714285714,14,2
14,3.8000000000000003,13,1
14,3.4,11,1
14,3.4857142857142853,14,1
13,3.369230769230769,12,1
13,3.5615384615384613,13,2
13,3.5846153846153848,13,2
13,3.715384615384615,11,1
13,3.630769230769231,10,2
13,3.6000000000000005,13,2
13,3.6769230769230767,13,2
13,3.723076923076923,13,1
12,3.466666666666667,12,2
12,3.725,12,2
12,3.141666666666667,12,2
12,3.6,12,2
12,3.6833333333333336,12,1
11,3.4545454545454546,10,1
11,3.727272727272727,11,1
11,3.5454545454545454,8,2
11,2.881818181818182,11,1
11,3.127272727272727,10,1
10,3.4200000000000004,10,1
10,3.5,10,3
10,3.0300000000000002,8,1
10,3.29,9,1
10,3.4200000000000004,9,1
10,3.35,10,1
10,2.9,9,1
10,3.2600000000000002,10,3
10,4.1,10,2
10,3.6,9,1
10,3.5799999999999996,8,1
10,3.21,8,1
10,3.6,9,1
10,3.6,8,1
10,3.4,9,1
10,3.9,9,2
10,3.6100000000000003,10,3
