restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,dish
1,Yaa Mohaideen Briyani,Restaurant,Pallavaram,4.3,12.9675,80.1491,Bread Halwa
1,Yaa Mohaideen Briyani,Restaurant,Pallavaram,4.3,12.9675,80.1491,Chicken 65
1,Yaa Mohaideen Briyani,Restaurant,Pallavaram,4.3,12.9675,80.1491,Mutton Biryani
1,Yaa Mohaideen Briyani,Restaurant,Pallavaram,4.3,12.9675,80.1491,Chicken Biryani
1,Yaa Mohaideen Briyani,Restaurant,Pallavaram,4.3,12.9675,80.1491,Brinjal Gravy
1,Yaa Mohaideen Briyani,Restaurant,Pallavaram,4.3,12.9675,80.1491,Basmati Rice
1,Yaa Mohaideen Briyani,Restaurant,Pallavaram,4.3,12.9675,80.1491,Raita
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Beef Biryani
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Beef Fry
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Paratha
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Paya
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Brinjal Curry
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Chicken 65
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Chicken Biryani
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Brinjal Curry
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Tandoori Chicken
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Chicken Grill
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Brinjal Gravy
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Hyderabadi Biryani
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Mutton Biryani
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Chicken 65
4,KFC,Fast Food,Perambur,4.0,13.121,80.2326,Zinger Burger
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Mutton Biryani
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Chicken Rice
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Tomato Rice
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Shawarma
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Egg Fried Rice
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,Chicken Grill
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,Shawarma
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,Naan
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,Chicken Butter Masala
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,Chilli Chicken
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,Fried Rice Chicken
7,Bai Veetu Kalyanam,Restaurant,Navallur,3.1,12.8459,80.2265,Bread Halwa
7,Bai Veetu Kalyanam,Restaurant,Navallur,3.1,12.8459,80.2265,Mutton Biryani
7,Bai Veetu Kalyanam,Restaurant,Navallur,3.1,12.8459,80.2265,Brinjal Gravy
7,Bai Veetu Kalyanam,Restaurant,Navallur,3.1,12.8459,80.2265,Raita
7,Bai Veetu Kalyanam,Restaurant,Navallur,3.1,12.8459,80.2265,Brinjal Curry
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Burgers
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Pasta
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Sandwich
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Strawberry Mojito
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Baklava
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Cappuccino
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Chocolate Cake
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Shawarma
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Chicken Grill
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Brownie
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Sea Food
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Bbq Chicken
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Biryani
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Fish
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Filtered Coffee
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Chaat
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Faluda
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Masala Dosa
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Pongal
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Mini Idlis
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Paneer Tikka
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Burgers
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Peri Peri Fries
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,French Fries
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Maharaja Mac
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Chicken Nuggets
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Rice Bowl
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Wings
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Elaneer Payasam
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Paratha
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Mutton Chukka
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Mutton Kola Urundai
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Mutton Biryani
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Kali Dosa
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Nannari Sharbat
13,Hotel Al Buhari,Hotel,Vadapalani,4.0,13.05,80.2121,Shawarma
13,Hotel Al Buhari,Hotel,Vadapalani,4.0,13.05,80.2121,Fried Rice Chicken
13,Hotel Al Buhari,Hotel,Vadapalani,4.0,13.05,80.2121,Biryani
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Mutton Biryani
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Faluda
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Barbeque Chicken
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Chicken Grill
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Bbq Chicken
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Fish Fry
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Mutton Chops
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Biryani
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Butter Chicken
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Tandoori Chicken
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Tangdi Kabab
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Paya
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Paratha
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Chilli Chicken
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Pongal
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Podi Dosa
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Idli Sambar
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Vada Curry
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Rava Dosa
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Coffee
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Masala Dosa
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Shawarma
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Biryani
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Chicken Grill
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Kunafa
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Charcoal Chicken
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Chicken Shawarama
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Butter Naan
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Haleem
