restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,feature
1,Yaa Mohaideen Briyani,Restaurant,Pallavaram,4.3,12.9675,80.1491,Home Delivery
1,Yaa Mohaideen Briyani,Restaurant,Pallavaram,4.3,12.9675,80.1491,Indoor Seating
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Home Delivery
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Free Parking
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Table booking recommended
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Indoor Seating
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Home Delivery
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Indoor Seating
4,KFC,Fast Food,Perambur,4.0,13.121,80.2326,Home Delivery
4,KFC,Fast Food,Perambur,4.0,13.121,80.2326,Free Parking
4,KFC,Fast Food,Perambur,4.0,13.121,80.2326,Card Upon Delivery
4,KFC,Fast Food,Perambur,4.0,13.121,80.2326,Indoor Seating
4,KFC,Fast Food,Perambur,4.0,13.121,80.2326,Wifi
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Home Delivery
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Indoor Seating
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,Home Delivery
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,Indoor Seating
7,Bai Veetu Kalyanam,Restaurant,Navallur,3.1,12.8459,80.2265,Home Delivery
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Breakfast
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Home Delivery
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Indoor Seating
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Desserts and Bakes
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Home Delivery
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Indoor Seating
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Card Upon Delivery
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Buffet
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Table booking recommended
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Breakfast
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Home Delivery
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Vegetarian Only
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Indoor Seating
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Serves Jain Food
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Table reservation required
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Breakfast
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Home Delivery
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Indoor Seating
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Home Delivery
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Free Parking
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Indoor Seating
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Table booking recommended
13,Hotel Al Buhari,Hotel,Vadapalani,4.0,13.05,80.2121,Home Delivery
13,Hotel Al Buhari,Hotel,Vadapalani,4.0,13.05,80.2121,Indoor Seating
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Home Delivery
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Indoor Seating
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Table reservation required
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Breakfast
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Home Delivery
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Indoor Seating
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Catering Available
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Breakfast
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Vegetarian Only
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Indoor Seating
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Home Delivery
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Valet Parking Available
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Indoor Seating
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Table reservation required
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Home Delivery
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Valet Parking Available
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Indoor Seating
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Table booking recommended
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Full Bar Available
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Mall Parking
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Dance Floor
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Nightlife
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Live Music
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Serves Cocktails
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Restricted Entry
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Resto Bar
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,LGBTQIA Friendly
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Private Dining Area Available
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Live Entertainment
