brand,model,release_year,screen_size_in,weight_g,thickness_mm,display_type,rear_camera_mp,soc,cpu_score_single,cpu_score_multi,premiumization_index,umap_x,umap_y
Apple,iPad Air (2020),2020,10.9,460,6.1,IPS,12.2,Apple A14 Bionic,2086,4995,0.27510001229906367,8.162516,6.3634043
Apple,iPad Pro 11 (2021),2021,11.0,470,5.9,IPS,12.2,Apple M1,2595,9970,0.9298901806774473,8.755725,6.615188
Apple,iPad Pro 11 (2022),2022,11.0,470,5.9,IPS,12.2,Apple M2,2600,10100,0.9457285632159196,8.779092,6.2604685
Apple,iPad Air 11 (2024),2024,10.9,462,6.1,IPS,12.2,Apple M2,2600,10100,0.897061111213685,9.516837,6.642359
Apple,iPad Pro 11 (2024),2024,11.0,446,5.3,OLED,12.2,Apple M4,3681,13576,1.895861713163619,9.331626,6.3662014
Samsung,Galaxy Tab S6 Lite Wi-Fi,2020,10.4,465,7.0,IPS,8.0,Samsung Exynos 9611,740,1840,-0.7682467532802159,11.131207,0.16836195
Samsung,Galaxy Tab S7 FE Wi-Fi,2021,12.4,610,6.3,IPS,8.0,Qualcomm Snapdragon 778G,1010,2930,-0.052943478093951814,8.092277,2.2430665
Samsung,Galaxy Tab S8 Ultra Wi-Fi,2022,14.6,597,5.7,AMOLED,13.0,Qualcomm Snapdragon 8 Gen 1,1628,3714,0.9334378391750333,7.7580895,3.1654806
Samsung,Galaxy Tab S9 Wi-Fi,2023,11.0,498,5.9,Dynamic AMOLED 2X,13.0,Qualcomm Snapdragon 8 Gen 2 for Galaxy,1950,5200,0.651868641915116,9.763924,4.1981997
Samsung,Galaxy Tab S10 Ultra Wi-Fi,2024,14.6,718,5.4,Dynamic AMOLED 2X,13.0,MediaTek Dimensity 9300+,2250,7600,1.462144251036431,7.7422013,3.7207954
Lenovo,Tab M10 Plus (3rd Gen) Wi-Fi G80,2022,10.61,465,7.45,IPS,8.0,MediaTek Helio G80,430,1410,-0.8786893624157603,10.543057,-0.0020742111
Lenovo,Tab M10 Plus (3rd Gen) Wi-Fi SD680,2022,10.61,465,7.45,IPS,8.0,Qualcomm Snapdragon 680,410,1490,-0.8689426654690082,10.152702,-0.27943635
Lenovo,Yoga Tab 11 Wi-Fi,2021,11.0,655,7.9,IPS,8.0,MediaTek Helio G90T,750,1990,-0.8447912382020306,8.148888,1.2330632
Lenovo,Tab P12 Pro,2021,12.6,565,5.63,AMOLED,13.0,Qualcomm Snapdragon 870,1295,3520,0.6861553031303034,8.410827,2.9064865
Lenovo,Tab P11 Pro (2nd Gen),2022,11.2,480,6.8,OLED,13.0,MediaTek Kompanio 1300T,1030,3080,0.1474239555149951,10.015348,3.3273675
Huawei,MatePad Pro 12.6 Wi-Fi,2021,12.6,609,6.7,OLED,13.0,Huawei HiSilicon Kirin 9000E,1490,4350,0.48615162851976434,8.59717,3.6489158
Huawei,MatePad Pro 12.6 5G,2021,12.6,609,6.7,OLED,13.0,Huawei HiSilicon Kirin 9000,1550,4600,0.7336322301224674,8.332173,4.1543455
Huawei,MatePad 11.5 2023,2023,11.5,499,6.9,IPS,13.1,Qualcomm Snapdragon 7 Gen 1,1030,3000,-0.26137975559400856,10.609199,3.6391134
Huawei,MatePad Air Wi-Fi,2023,11.5,508,6.4,IPS,13.1,Qualcomm Snapdragon 888,1390,3950,-0.053536716563140345,10.224871,4.0216446
Huawei,MatePad Pro 13.2,2023,13.2,580,5.5,OLED,13.0,Huawei HiSilicon Kirin 9000S,1322,4059,0.7427027303893615,7.7674785,3.9726973
Xiaomi,Pad 5 Wi-Fi,2021,11.0,511,6.85,IPS,13.0,Qualcomm Snapdragon 860,1100,3200,-0.5039603200272127,10.826303,1.010751
Xiaomi,Redmi Pad,2022,10.61,465,7.1,IPS,8.0,MediaTek Helio G99,730,1970,-0.7459917748367647,10.359752,0.39090008
Xiaomi,Pad 6,2023,11.0,490,6.51,IPS,13.0,Qualcomm Snapdragon 870,1295,3520,-0.18532266990013468,10.600961,4.4590816
Xiaomi,Redmi Pad Pro,2024,12.1,571,7.52,IPS,8.0,Qualcomm Snapdragon 7s Gen 2,1020,2950,-0.31071441572131914,9.232914,1.9859623
Xiaomi,Pad 6S Pro 12.4,2024,12.4,590,6.26,IPS,50.2,Qualcomm Snapdragon 8 Gen 2,1950,5200,0.23098712879319536,9.379183,4.8567743
Honor,Tab 7,2021,10.1,460,7.55,IPS,4.9,MediaTek Helio P22,350,1300,-0.9708292123986784,10.939838,-0.33123493
Honor,Pad 8,2022,12.0,520,6.9,IPS,5.0,Qualcomm Snapdragon 680,410,1490,-0.6032355996732575,9.194103,0.46897185
Honor,Pad X8 Pro,2023,11.5,495,6.9,IPS,5.0,Qualcomm Snapdragon 685,480,1540,-0.656279148516338,9.5894785,0.90718484
Honor,MagicPad 13,2023,13.0,673,6.84,IPS,13.0,Qualcomm Snapdragon 888,1390,3950,0.04282009548765734,8.941451,4.242576
Honor,Pad 9,2024,12.1,555,6.96,IPS,12.9,Qualcomm Snapdragon 6 Gen 1,930,2750,-0.44895019740953335,8.873197,1.6585803
Oppo,Pad Air2,2023,11.4,538,6.89,IPS,8.0,MediaTek Helio G99,730,1970,-0.6138756790587414,8.591449,0.7676478
Oppo,Pad 2,2023,11.61,552,6.54,IPS,13.0,MediaTek Dimensity 9000,1700,4450,-0.005398392650975477,9.990364,4.7480507
Oppo,Pad Neo Wi-Fi,2023,11.4,538,6.89,IPS,8.0,MediaTek Helio G99,730,1970,-0.6138756790587414,8.998802,1.0842812
Oppo,Pad 2024,2024,11.6,533,6.29,IPS,7.0,MediaTek Dimensity 8350,1550,6200,0.252678404764625,10.235966,5.388988
Oppo,Pad 3 Pro,2024,12.1,586,6.49,IPS,13.0,Qualcomm Snapdragon 8 Gen 3,2200,7000,0.3724402035516725,9.730629,5.379369
Amazon,Fire 7 (2022),2022,7.0,282,9.67,IPS,1.9,MediaTek MT8168,290,900,-1.776709444850113,10.710219,-0.6237575
Amazon,Fire Max 11,2023,11.0,490,7.5,IPS,7.0,MediaTek MT8188J,840,2250,-0.5224114892504342,9.898084,1.4771785
