brand,model,release_year,screen_size_in,weight_g,thickness_mm,display_type,rear_camera_mp,soc,cpu_score_single,cpu_score_multi,premiumization_index,umap_x,umap_y
Apple,iPad Air (2020),2020,10.9,460,6.1,IPS,12.2,Apple A14 Bionic,2086,4995,0.27570270906668026,10.442187,5.831133
Apple,iPad Pro 11 (2021),2021,11.0,470,5.9,IPS,12.2,Apple M1,2595,9970,0.930492877445064,10.829157,5.324302
Apple,iPad Pro 11 (2022),2022,11.0,470,5.9,IPS,12.2,Apple M2,2600,10100,0.9463312599835363,11.254299,5.195393
Apple,iPad Air 11 (2024),2024,10.9,462,6.1,IPS,12.2,Apple M2,2600,10100,0.8976638079813017,10.637381,4.6346936
Apple,iPad Pro 11 (2024),2024,11.0,446,5.3,OLED,12.2,Apple M4,3681,13576,1.8808832069160442,11.058584,4.566206
Samsung,Galaxy Tab S6 Lite Wi-Fi,2020,10.4,465,7.0,IPS,8.0,Samsung Exynos 9611,740,1840,-0.7676440565125993,4.384701,6.216855
Samsung,Galaxy Tab S7 FE Wi-Fi,2021,12.4,610,6.3,IPS,8.0,Qualcomm Snapdragon 778G,1010,2930,-0.05234078132633522,6.7622695,5.796043
Samsung,Galaxy Tab S8 Ultra Wi-Fi,2022,14.6,597,5.7,AMOLED,13.0,Qualcomm Snapdragon 8 Gen 1,1628,3714,0.9479420946111858,7.4900293,4.6696734
Samsung,Galaxy Tab S9 Wi-Fi,2023,11.0,498,5.9,Dynamic AMOLED 2X,13.0,Qualcomm Snapdragon 8 Gen 2 for Galaxy,1950,5200,0.6663728973512685,8.811455,5.7194614
Samsung,Galaxy Tab S10 Ultra Wi-Fi,2024,14.6,718,5.4,Dynamic AMOLED 2X,13.0,MediaTek Dimensity 9300+,2250,7600,1.4766485064725838,7.9083347,4.074348
Lenovo,Tab M10 Plus (3rd Gen) Wi-Fi G80,2022,10.61,465,7.45,IPS,8.0,MediaTek Helio G80,430,1410,-0.8780866656481436,4.100727,7.2355804
Lenovo,Tab M10 Plus (3rd Gen) Wi-Fi SD680,2022,10.61,465,7.45,IPS,8.0,Qualcomm Snapdragon 680,410,1490,-0.8683399687013915,4.485034,7.096218
Lenovo,Yoga Tab 11 Wi-Fi,2021,11.0,655,7.9,IPS,8.0,MediaTek Helio G90T,750,1990,-0.844188541434414,6.428857,6.975976
Lenovo,Tab P12 Pro,2021,12.6,565,5.63,AMOLED,13.0,Qualcomm Snapdragon 870,1295,3520,0.7006595585664559,7.294948,5.307845
Lenovo,Tab P11 Pro (2nd Gen),2022,11.2,480,6.8,OLED,13.0,MediaTek Kompanio 1300T,1030,3080,0.1324454492674202,8.049167,6.294007
Huawei,MatePad Pro 12.6 Wi-Fi,2021,12.6,609,6.7,OLED,13.0,Huawei HiSilicon Kirin 9000E,1490,4350,0.47117312227218944,6.8890095,4.44365
Huawei,MatePad Pro 12.6 5G,2021,12.6,609,6.7,OLED,13.0,Huawei HiSilicon Kirin 9000,1550,4600,0.7186537238748925,7.552221,3.6000836
Huawei,MatePad 11.5 2023,2023,11.5,499,6.9,IPS,13.1,Qualcomm Snapdragon 7 Gen 1,1030,3000,-0.26077705882639196,8.435565,6.8525357
Huawei,MatePad Air Wi-Fi,2023,11.5,508,6.4,IPS,13.1,Qualcomm Snapdragon 888,1390,3950,-0.05293401979552375,8.779662,6.2654095
Huawei,MatePad Pro 13.2,2023,13.2,580,5.5,OLED,13.0,Huawei HiSilicon Kirin 9000S,1322,4059,0.7277242241417866,7.226834,3.963615
Xiaomi,Pad 5 Wi-Fi,2021,11.0,511,6.85,IPS,13.0,Qualcomm Snapdragon 860,1100,3200,-0.5033576232595961,5.389845,6.283732
Xiaomi,Redmi Pad,2022,10.61,465,7.1,IPS,8.0,MediaTek Helio G99,730,1970,-0.7453890780691481,4.899791,6.8144197
Xiaomi,Pad 6,2023,11.0,490,6.51,IPS,13.0,Qualcomm Snapdragon 870,1295,3520,-0.1847199731325181,9.320058,6.392352
Xiaomi,Redmi Pad Pro,2024,12.1,571,7.52,IPS,8.0,Qualcomm Snapdragon 7s Gen 2,1020,2950,-0.31011171895370254,7.1699414,7.8499904
Xiaomi,Pad 6S Pro 12.4,2024,12.4,590,6.26,IPS,50.2,Qualcomm Snapdragon 8 Gen 2,1950,5200,0.23158982556081195,8.994184,4.9831514
Honor,Tab 7,2021,10.1,460,7.55,IPS,4.9,MediaTek Helio P22,350,1300,-0.9702265156310618,4.006203,6.778321
Honor,Pad 8,2022,12.0,520,6.9,IPS,5.0,Qualcomm Snapdragon 680,410,1490,-0.6026329029056409,5.6037445,7.5615506
Honor,Pad X8 Pro,2023,11.5,495,6.9,IPS,5.0,Qualcomm Snapdragon 685,480,1540,-0.6556764517487214,5.4167056,8.222158
Honor,MagicPad 13,2023,13.0,673,6.84,IPS,13.0,Qualcomm Snapdragon 888,1390,3950,0.043422792255273936,8.399689,4.603147
Honor,Pad 9,2024,12.1,555,6.96,IPS,12.9,Qualcomm Snapdragon 6 Gen 1,930,2750,-0.44834750064191675,6.988251,8.152437
Oppo,Pad Air2,2023,11.4,538,6.89,IPS,8.0,MediaTek Helio G99,730,1970,-0.6132729822911248,6.4018464,8.192613
Oppo,Pad 2,2023,11.61,552,6.54,IPS,13.0,MediaTek Dimensity 9000,1700,4450,-0.004795695883358882,9.4826565,5.599126
Oppo,Pad Neo Wi-Fi,2023,11.4,538,6.89,IPS,8.0,MediaTek Helio G99,730,1970,-0.6132729822911248,6.2603836,7.8237453
Oppo,Pad 2024,2024,11.6,533,6.29,IPS,7.0,MediaTek Dimensity 8350,1550,6200,0.2532811015322416,9.891939,4.9319606
Oppo,Pad 3 Pro,2024,12.1,586,6.49,IPS,13.0,Qualcomm Snapdragon 8 Gen 3,2200,7000,0.3730429003192891,9.53274,4.6008143
Amazon,Fire 7 (2022),2022,7.0,282,9.67,IPS,1.9,MediaTek MT8168,290,900,-1.7761067480824964,3.6837971,6.59797
Amazon,Fire Max 11,2023,11.0,490,7.5,IPS,7.0,MediaTek MT8188J,840,2250,-0.5218087924828178,5.962061,8.595151
