market_period,brand,shipments_k,market_share_pct,market_source
2020Q1,Apple,10106,38.6,"Canalys Q1 2021 comparison column"
2020Q1,Samsung,5002,19.1,"Canalys Q1 2021 comparison column"
2020Q1,Huawei,2974,11.4,"Canalys Q1 2021 comparison column"
2020Q1,Lenovo,1620,6.2,"Canalys Q1 2021 comparison column"
2020Q1,Amazon,1159,4.4,"Canalys Q1 2021 comparison column"
2020Q1,Others,5309,20.3,"Canalys Q1 2021 comparison column"
2020Q1,Total,26171,100.0,"Canalys Q1 2021 comparison column"
2020Q2,Apple,14249,38.0,"Canalys Q2 2021 comparison column"
2020Q2,Samsung,7024,18.7,"Canalys Q2 2021 comparison column"
2020Q2,Huawei,5006,13.4,"Canalys Q2 2021 comparison column"
2020Q2,Amazon,3164,8.4,"Canalys Q2 2021 comparison column"
2020Q2,Lenovo,2642,7.0,"Canalys Q2 2021 comparison column"
2020Q2,Others,5393,14.4,"Canalys Q2 2021 comparison column"
2020Q2,Total,37479,100.0,"Canalys Q2 2021 comparison column"
2020Q3,Apple,15233,34.4,"Canalys Q3 2020"
2020Q3,Samsung,9035,20.4,"Canalys Q3 2020"
2020Q3,Huawei,5096,11.5,"Canalys Q3 2020"
2020Q3,Amazon,4993,11.3,"Canalys Q3 2020"
2020Q3,Lenovo,4196,9.1,"Canalys Q3 2020"
2020Q3,Others,5739,13.4,"Canalys Q3 2020"
2020Q3,Total,44293,100.0,"Canalys Q3 2020"
2020Q4,Apple,19200,36.0,"Canalys Q4 2020"
2020Q4,Samsung,9900,19.0,"Canalys Q4 2020"
2020Q4,Amazon,6500,12.0,"Canalys Q4 2020"
2020Q4,Lenovo,5600,11.0,"Canalys Q4 2020"
2020Q4,Huawei,3500,7.0,"Canalys Q4 2020"
2020Q4,Others,8633,16.2,"Canalys Q4 2020"
2020Q4,Total,53333,100.0,"Canalys Q4 2020"
2021Q1,Apple,15187,38.2,"Canalys Q1 2021"
2021Q1,Samsung,8000,20.1,"Canalys Q1 2021"
2021Q1,Lenovo,3782,9.5,"Canalys Q1 2021"
2021Q1,Amazon,3453,8.7,"Canalys Q1 2021"
2021Q1,Huawei,2143,5.4,"Canalys Q1 2021"
2021Q1,Others,7159,18.0,"Canalys Q1 2021"
2021Q1,Total,39724,100.0,"Canalys Q1 2021"
2021Q2,Apple,14185,36.3,"Canalys Q2 2021"
2021Q2,Samsung,7996,20.5,"Canalys Q2 2021"
2021Q2,Lenovo,4688,12.0,"Canalys Q2 2021"
2021Q2,Amazon,3118,8.0,"Canalys Q2 2021"
2021Q2,Huawei,2305,5.9,"Canalys Q2 2021"
2021Q2,Others,6791,17.4,"Canalys Q2 2021"
2021Q2,Total,39081,100.0,"Canalys Q2 2021"
2021Q3,Apple,15230,40.5,"Canalys Q3 2022 comparison column"
2021Q3,Samsung,7210,19.1,"Canalys Q3 2022 comparison column"
2021Q3,Lenovo,4280,11.4,"Canalys Q3 2022 comparison column"
2021Q3,Amazon,2717,7.2,"Canalys Q3 2022 comparison column"
2021Q3,Huawei,2503,6.6,"Canalys Q3 2022 comparison column"
2021Q3,Others,5711,15.2,"Canalys Q3 2022 comparison column"
2021Q3,Total,37650,100.0,"Canalys Q3 2022 comparison column"
2021Q4,Apple,16443,39.2,"Canalys Q4 2021"
2021Q4,Samsung,6892,16.4,"Canalys Q4 2021"
2021Q4,Lenovo,4742,11.3,"Canalys Q4 2021"
2021Q4,Amazon,4011,9.6,"Canalys Q4 2021"
2021Q4,Huawei,2239,5.3,"Canalys Q4 2021"
2021Q4,Others,7620,18.2,"Canalys Q4 2021"
