parameter,parameter_value,bmi_group,optimal_detection_time_days,optimal_detection_time_weeks,min_risk,strategy,group_size
alpha_param,0.3,0,110.91228070175438,15.844611528822055,,multiobj,71
alpha_param,0.3,1,117.2982456140351,16.756892230576444,,multiobj,117
alpha_param,0.3,2,129.3859649122807,18.48370927318296,,multiobj,66
alpha_param,0.5,0,110.91228070175438,15.844611528822055,,multiobj,71
alpha_param,0.5,1,117.2982456140351,16.756892230576444,,multiobj,117
alpha_param,0.5,2,129.3859649122807,18.48370927318296,,multiobj,66
alpha_param,0.7,0,110.91228070175438,15.844611528822055,,multiobj,71
alpha_param,0.7,1,117.2982456140351,16.756892230576444,,multiobj,117
alpha_param,0.7,2,129.3859649122807,18.48370927318296,,multiobj,66
retest_interval,7.0,0,110.91228070175438,15.844611528822055,,multiobj,71
retest_interval,7.0,1,117.2982456140351,16.756892230576444,,multiobj,117
retest_interval,7.0,2,130.29824561403507,18.614035087719294,,multiobj,66
retest_interval,14.0,0,110.91228070175438,15.844611528822055,,multiobj,71
retest_interval,14.0,1,117.2982456140351,16.756892230576444,,multiobj,117
retest_interval,14.0,2,129.3859649122807,18.48370927318296,,multiobj,66
retest_interval,21.0,0,110.91228070175438,15.844611528822055,,multiobj,71
retest_interval,21.0,1,117.2982456140351,16.756892230576444,,multiobj,117
retest_interval,21.0,2,127.10526315789474,18.157894736842106,,multiobj,66
min_interval_days,3.0,0,110.91228070175438,15.844611528822055,,multiobj,71
min_interval_days,3.0,1,117.2982456140351,16.756892230576444,,multiobj,117
min_interval_days,3.0,2,127.10526315789474,18.157894736842106,,multiobj,66
min_interval_days,6.0,0,110.91228070175438,15.844611528822055,,multiobj,71
min_interval_days,6.0,1,117.2982456140351,16.756892230576444,,multiobj,117
min_interval_days,6.0,2,127.10526315789474,18.157894736842106,,multiobj,66
min_interval_days,9.0,0,110.91228070175438,15.844611528822055,,multiobj,71
min_interval_days,9.0,1,117.2982456140351,16.756892230576444,,multiobj,117
min_interval_days,9.0,2,127.10526315789474,18.157894736842106,,multiobj,66
