Date,Weather,Label
2016-08-01,多云,1
2016-08-02,雷阵雨,0
2016-08-03,中雨,0
2016-08-04,雷阵雨,0
2016-08-05,雷阵雨,0
2016-08-06,多云,1
2016-08-07,多云,1
2016-08-08,阵雨,0
2016-08-09,多云,1
2016-08-10,多云,1
2016-08-11,多云,1
2016-08-12,多云,1
2016-08-13,多云,1
2016-08-14,多云,1
2016-08-15,晴,1
2016-08-16,多云,1
2016-08-17,多云,1
2016-08-18,多云,1
2016-08-19,晴,1
2016-08-20,雷阵雨,0
2016-08-21,雷阵雨,0
2016-08-22,多云,1
2016-08-23,多云,1
2016-08-24,晴,1
2016-08-25,多云,1
2016-08-26,阵雨,0
2016-08-27,多云,1
2016-08-28,多云,1
2016-08-29,多云,1
2016-08-30,晴,1
2016-08-31,晴,1
